the risks a foreigner might face, we were prepared to make certain the precious creature	arrived	. . . alive? [SEP] Script notes by Quentin Quiet-noted treatment development reader for	#fiction#	fiction_TheStory.txt	arrive	written	OANC_written	3
in Palestine during the war and fought with the Allies under British command. [SEP] Some brigade members had	arrived	in Italy at the war's tail end and, arriving too late for combat, vented their revenge impulses by hunting down Gestapo and	#journal#	journal_ArticleIP_32763.txt	arrive	written	OANC_written	5
wrote about. [SEP] My subject, wary by nature, had, after a year of elaborate equivocation,	arrived	at the point where he would grant me access to his papers--subject to his approval--and consent to be interviewed from time to	#journal#	journal_ArticleIP_33225.txt	arrive	written	OANC_written	5
As Madeleine Albright	arrived	in the Middle East to join the tense Israeli-Palestinian peace negotiations, various commentators in the Arab press	#journal#	journal_ArticleIP_34168.txt	arrive	written	OANC_written	3
soldier. [SEP] Remember Bill Barr? [SEP] I didn't think so. [SEP] Reno is neither. [SEP] She	arrived	in Washington from Miami as Caesar's Wife, and so she has remained. [SEP] She was ignorant and	#journal#	journal_ArticleIP_34455.txt	arrive	written	OANC_written	3
practical reality. [SEP] That the American Century was built before the bulk of its tenants had	arrived	is one of those facts that shouldn't be any surprise but comes as a revelation nonetheless.	#journal#	journal_ArticleIP_3472.txt	arrive	written	OANC_written	5
standing around looking suspicious. [SEP] When you detect an illegal defense before the referee makes the call, you have completely	arrived	as a TV sports viewer.	#journal#	journal_ArticleIP_3488.txt	arrive	written	OANC_written	5
record-smashing brilliance that he'd actually exceeded the hype that had been built up around him. [SEP] When he	arrived	for the U.S. Open, it was as though Jackie Kennedy had showed up.	#journal#	journal_ArticleIP_3489.txt	arrive	written	OANC_written	5
As the first peacekeepers	arrived	in East Timor, the South China Morning Post took a hard line against the Indonesian government in an editorial Monday, saying that "[i]f the army lets its	#journal#	journal_ArticleIP_35177.txt	arrive	written	OANC_written	3
discovered in an Upper West Side curio shop. [SEP] The New York Times reports that the skull	arrived	in the shop as part of a collection of rocks, minerals, and curios. [SEP] The shop owner recognized its significance after he cleaned it and	#journal#	journal_ArticleIP_35234.txt	arrive	written	OANC_written	3
said the killers cut off one of his ears "and took it away as some sort of bizarre souvenir." [SEP] Thoenes had	arrived	in East Timor only hours before he was attacked.	#journal#	journal_ArticleIP_35342.txt	arrive	written	OANC_written	5
The pitch	arrived	by e-mail, and it was a direct appeal for money. [SEP] It	#journal#	journal_ArticleIP_35481.txt	arrive	written	OANC_written	3
had been imposed. [SEP] I	arrived	at a moment of celebration. [SEP] When the controls were put on, many Western analysts predicted disaster: a collapse of the	#journal#	journal_ArticleIP_35534.txt	arrive	written	OANC_written	5
prejudice permeate Buchanan's book right from the beginning. [SEP] Early on, he refers to the American West before European settlers	arrived	as "empty land." [SEP] For a screed against American imperialism, his book is astonishingly uncritical	#journal#	journal_ArticleIP_35667.txt	arrive	written	OANC_written	5
Convincing estimates show that by 1950 about one in five white Americans had some African ancestry. [SEP] This inheritance most often	arrived	at the bedroom door in the form of a fair-skinned black person who had slipped over the color line	#journal#	journal_ArticleIP_35817.txt	arrive	written	OANC_written	5
The first flight, out of the Middle East, left late and	arrived	even later at Heathrow, though not too late to make the connection. [SEP] However, the Shopping Avenger and several other	#journal#	journal_ArticleIP_35916.txt	arrive	written	OANC_written	3
greedheads who run the airlines to take care of passengers. [SEP] Rabbi S., his wife, and kids	arrived	at Kennedy airport in time for his flight to Detroit, parked curbside, unloaded their	#journal#	journal_ArticleIP_35916.txt	arrive	written	OANC_written	3
ordered them from the Norm Thompson catalog, where they are called Mile Mates and sell for $54, plus $7.25 shipping. [SEP] They	arrived	in two days. [SEP] (800) 547-1160 or www.normthompson.com.	#journal#	journal_ArticleIP_3605.txt	arrive	written	OANC_written	3
information: I ordered the Tush-Cush from the Harmony catalog for $40, plus $6.95 shipping. [SEP] It	arrived	in 10 days. [SEP] (800) 869-3446; no Web site. [SEP] Wrists	#journal#	journal_ArticleIP_3605.txt	arrive	written	OANC_written	3
information: The Ionic Hair Wand is available from the Sharper Image for $39, plus $8.95 shipping. [SEP] It	arrived	in five days. [SEP] (800) 344-4444 or www.sharperimage.com. [SEP] Skin	#journal#	journal_ArticleIP_3605.txt	arrive	written	OANC_written	3
information: I ordered a box of 12 double patches from the SelfCare catalog for $50, plus $4.25 shipping. [SEP] They	arrived	in five days. [SEP] (800) 345-3371; no Web site.	#journal#	journal_ArticleIP_3605.txt	arrive	written	OANC_written	3
President Jiang Zemin, the first Chinese head of state ever to visit Britain,	arrived	in London Monday to find the Daily Telegraph describing him in a profile as an "insipid man who inspires indifference." [SEP] But	#journal#	journal_ArticleIP_36820.txt	arrive	written	OANC_written	3
name?--killed on Wall Street, rising from $18 to $52 before settling at $36. [SEP] She	arrived	at the stock exchange that morning toting a tray of brioches. [SEP] She left that evening holding $1.2 billion (in stock, not dough). [SEP] Investors bought	#journal#	journal_ArticleIP_36993.txt	arrive	written	OANC_written	3
asynchronous connection. [SEP] They're different. [SEP] My first Amazon order was placed on a Friday and	arrived	on Tuesday. [SEP] My last order, placed at about the same time the article's authors ordered, took about nine days. [SEP] I have paid, with	#journal#	journal_ArticleIP_3850.txt	arrive	written	OANC_written	3
government nominees would be even less democratic than one dominated by people who had	arrived	there by accident of birth. [SEP] Even the liberal Guardian, which strongly supports reform, insisted in an editorial that the government be held to its promise that "the	#journal#	journal_ArticleIP_4234.txt	arrive	written	OANC_written	5
church appearances that cemented his support--while enhancing the reputations of the ministers he visited. When Torquemada	arrived	at the White House gate, black ministers--many of whose church services are broadcast on	#journal#	journal_ArticleIP_5436.txt	arrive	written	OANC_written	3
its flashing lights sent more than 700 Japanese kids into convulsions. [SEP] ) The games and show	arrived	in the United States a year ago and became wildly popular almost immediately. [SEP] They are a triumph of cross-marketing. [SEP] The TV show	#journal#	journal_ArticleIP_55696.txt	arrive	written	OANC_written	3
Slate mail server have meant that many responses	arrived	too late to appear in the quiz. [SEP] These were, without a doubt, the funniest answers each	#journal#	journal_ArticleIP_55732.txt	arrive	written	OANC_written	5
as a mature, world-class director. [SEP] Not to take anything away from his movie--it's a lovely work--but Almodóvar	arrived	as a world-class director 15 years ago, when his silly, campy, and impassioned melodramas were like joyous	#journal#	journal_ArticleIP_56558.txt	arrive	written	OANC_written	3
Hsing-Hsing Hsing-Hsing and I grew up together. [SEP] I	arrived	in Washington in late 1970 as a six-month-old infant. [SEP] He came to the National Zoo	#journal#	journal_ArticleIP_56833.txt	arrive	written	OANC_written	3
In the early rooms, skepticism can't but prevail. [SEP] From the time Pollock	arrived	in New York, in 1930, at the age of 18, until about 1946, he was casting about for a style. [SEP] He	#journal#	journal_ArticleIP_6281.txt	arrive	written	OANC_written	3
30, and Tuesday, Oct. 27. [SEP] As Gerhard Schröder	arrived	in London Monday for his first foreign trip as German chancellor, Britain and	#journal#	journal_ArticleIP_6688.txt	arrive	written	OANC_written	3
immortality. [SEP] My favorite strip was when Lucy fell ill and sent Rerun to hold the football for Charlie Brown. [SEP] Lucy stayed home. [SEP] Rerun	arrived	home a short time later. [SEP] Lucy screamed, "I've got to know. [SEP] Did you pull away the football or	#journal#	journal_ArticleIP_67377.txt	arrive	written	OANC_written	3
nursing bosom from the driver, and the dog scratching her bottom across the floor of the minivan. [SEP] At length we	arrived	at our new home on the Left Bank, which we'd never actually seen, except in photographs. [SEP] It was a small cluster	#journal#	journal_ArticleIP_68576.txt	arrive	written	OANC_written	3
spirits. [SEP] Fifteen years ago, when I	arrived	in London, to live outside the United States for the first time in my life, I was fitting the key into my new front door	#journal#	journal_ArticleIP_68576.txt	arrive	written	OANC_written	3
better than Gore at doing so. [SEP] The flu is hitting the United States. [SEP] Flu season	arrived	earlier than in previous years, and the number and severity of infections are higher than average.	#journal#	journal_ArticleIP_68614.txt	arrive	written	OANC_written	3
going to be fair. [SEP] Weisberg wrote in TNR about his adventures: When we	arrived	back at the Supreme Electoral Headquarters at the Hotel El Dorado two hours before the	#journal#	journal_ArticleIP_8104.txt	arrive	written	OANC_written	3
researched Been in the Storm So Long , they rejoiced to the skies when troops	arrived	to liberate them. [SEP] They considered it a deliverance of biblical proportions.	#journal#	journal_ArticleIP_9089.txt	arrive	written	OANC_written	3
lacrosse , for example.   [SEP] But the south border is another matter.   [SEP] For more than 160 years, since the Anglos	arrived	in Texas, there has been a culture transfer back	#journal#	journal_VOL15_2.txt	arrive	written	OANC_written	3
It became a party. [SEP] Nearly three years later, in January 1945, I	arrived	as a P.O.W. at Stalag IV B, in Muhleberg, East Germany,	#journal#	journal_VOL16_2.txt	arrive	written	OANC_written	3
after examining annotated Bibles, especially the Dart-mouth Bible, I	arrived	at the same derivation as Brewer's.	#journal#	journal_VOL16_2.txt	arrive	written	OANC_written	3
At almost the same time that Æthelbert pro claimed his code, St. Augustine and his followers	arrived	in England bringing Christianity and Latin,	#journal#	journal_VOL17_1.txt	arrive	written	OANC_written	3
On another occasion I was in town with two young Englishmen who had just	arrived	on the scene and did not speak a word of German between them.	#journal#	journal_VOL17_3.txt	arrive	written	OANC_written	5
the material selected by lexicographers as source corpora for citations is	arrived	at subjectively and impressionistically--though I hasten to allow that	#journal#	journal_VOL18_4.txt	arrive	written	OANC_written	3
my constitution was somewhat affected by jet lag, as I had usually	arrived	only that morning or the day before from the U.S.  On one occasion, as our deliberations	#journal#	journal_VOL19_3.txt	arrive	written	OANC_written	5
ten-shilling note are New Zealand expressions that	arrived	in Britain, and they were also widely used by counterfeiters in the underworld.   [SEP] They also called	#journal#	journal_VOL19_4.txt	arrive	written	OANC_written	3
snák , for the very good reason that Turkish meze was in use long before snackbars	arrived	on the scene. [SEP] But perhaps the greatest number of loanwords	#journal#	journal_VOL21_2.txt	arrive	written	OANC_written	3
announced that because the cool autumn weather had	arrived	they were going to buy a kite .   [SEP] I was trying to speculate on how a kite could keep you	#journal#	journal_VOL21_2.txt	arrive	written	OANC_written	5
see nam tarn, Lit. [SEP] palm-sugar color: brown (Before white sugar	arrived	from the West, Thais refined sugar from the tarn tree: nam tarn water	#journal#	journal_VOL21_4.txt	arrive	written	OANC_written	3
examples of wit without causing anyone to cringe, perhaps the moment has	arrived	to make some distinctions and straighten out the nomenclature among	#journal#	journal_VOL21_4.txt	arrive	written	OANC_written	5
immediately observed many peculiarities of usage when she	arrived	in Montreal to earn an M.A. degree in applied linguistics at Concordia University.	#journal#	journal_VOL22_2.txt	arrive	written	OANC_written	3
6.0 billion--and the real figure for the period was certainly much higher.   [SEP] A similar result is	arrived	at by calculating in a different way: the almanac estimates	#journal#	journal_VOL22_2.txt	arrive	written	OANC_written	3
the comparison of the brightly colored fruit with the ruddy cheeks of the newly	arrived	English immigrant sufficient explanation in itself.   [SEP] Folk etymologies	#journal#	journal_VOL22_2.txt	arrive	written	OANC_written	3
and some bizarre spelling. [SEP] He	arrived	in Dover in June 1763 in a paq-bot which he shared with the Duke of Bedfort.   [SEP] His	#journal#	journal_VOL22_3.txt	arrive	written	OANC_written	3
The Electronic Publishing Forum The 3.5" diskette containing the Forum	arrived	with a friendly note from John Galuszka (telephone:	#journal#	journal_VOL22_3.txt	arrive	written	OANC_written	3
have served us since Anglo-Saxon times and were here before King Alfred.   [SEP] Many	arrived	with William the Conqueror. [SEP] Others were absorbed in Shakespeare's time, often	#journal#	journal_VOL23_1.txt	arrive	written	OANC_written	3
Dharuk Words In English When the first European settlers	arrived	in Australia in 1788, there were approximately 250 separate languages	#journal#	journal_VOL23_1.txt	arrive	written	OANC_written	3
you? [SEP] This tactic actually worked.   [SEP] But when we	arrived	at our destination and were safely on the sidewalk, my	#journal#	journal_VOL23_4.txt	arrive	written	OANC_written	3
One group of adults and one group of youth, through two very different processes, have	arrived	at the same conclusion; our community still has much to do if we are to help ALL of your youth successfully develop into	#letters#	letters_116CUL032.txt	arrive	written	OANC_written	5
